Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,Close_norm
2023-01-01,9.968,10.074,9.678,9.977,33989325.0,SOL,336064505.184,493733,-0.00076542,26.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,,,0.0
2023-01-02,9.977,12.067,9.796,11.259,79455204.0,SOL,874979462.606,1303567,-0.0007189233333333,27.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,12.849553974140516,0.1208853648896233,0.0050888565156813
2023-01-03,11.259,13.879,11.0,13.326,172413417.0,SOL,2150335077.986,2682824,-0.0042652266666666,26.0,261883481.8059322,272055.0,16511361.794084923,1d,18.358646416200376,0.1685492053193519,0.0132937445171739
2023-01-04,13.326,14.2,12.813,13.405,157681435.0,SOL,2131662125.534,2634303,-0.0047424166666666,29.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,0.5928260543298647,0.005910757547577,0.0136073323991854
2023-01-05,13.404,13.781,12.927,13.418,69424055.0,SOL,921854525.222,1197148,-0.0008372633333333,29.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,0.0969787392763876,0.0009693174527736,0.0136589354683772
2023-01-06,13.417,13.585,12.644,13.483,66949448.0,SOL,879413998.364,1147975,-0.0012963866666666,26.0,305064103.23047346,276071.0,19587656.115701865,1d,0.4844239081830404,0.0048325435112412,0.0139169508143361
2023-01-07,13.484,13.49,13.01,13.087,19679392.0,SOL,260404008.583,373408,-0.0004021233333333,25.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-2.937031817844704,-0.029810261578594,0.0123450419374173
2023-01-08,13.086,15.489,12.834,14.465,62122677.0,SOL,846269584.731,1041976,-0.0003239266666666,25.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,10.529533124474666,0.1001125673547548,0.0178149672717457
2023-01-09,14.464,17.5,14.256,16.253,132229880.0,SOL,2144978574.45,2893365,-9.166666666666665e-06,25.0,257609687.17239985,287347.0,16568165.610140678,1d,12.360871068095404,0.1165455686929404,0.0249123740190455
2023-01-10,16.253,16.718,15.567,16.191,67695006.0,SOL,1092517758.344,1481440,1.5510000000000002e-05,26.0,611691944.7732829,450531.0353982301,38539060.71746735,1d,-0.3814680366701628,-0.0038219748164235,0.0246662670736693
