Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-01-01,9.968,10.074,9.678,9.977,33989325.0,SOL,336064505.184,493733,-0.0007654200000000001,26.0,272483373.92231476,187516.0,16173353.596591791,1d
2023-01-02,9.977,12.067,9.796,11.259,79455204.0,SOL,874979462.606,1303567,-0.0007189233333333334,27.0,,,,1d
2023-01-03,11.259,13.879,11.0,13.326,172413417.0,SOL,2150335077.986,2682824,-0.004265226666666667,26.0,,,,1d
2023-01-04,13.326,14.2,12.813,13.405,157681435.0,SOL,2131662125.534,2634303,-0.0047424166666666665,29.0,242356482.01087618,277936.0,15514421.553151188,1d
2023-01-05,13.404,13.781,12.927,13.418,69424055.0,SOL,921854525.222,1197148,-0.0008372633333333335,29.0,,,,1d
2023-01-06,13.417,13.585,12.644,13.483,66949448.0,SOL,879413998.364,1147975,-0.0012963866666666666,26.0,,,,1d
2023-01-07,13.484,13.49,13.01,13.087,19679392.0,SOL,260404008.583,373408,-0.0004021233333333333,25.0,260999288.3194051,246679.0,16669607.643204877,1d
2023-01-08,13.086,15.489,12.834,14.465,62122677.0,SOL,846269584.731,1041976,-0.0003239266666666667,25.0,,,,1d
2023-01-09,14.464,17.5,14.256,16.253,132229880.0,SOL,2144978574.45,2893365,-9.166666666666663e-06,25.0,,,,1d
2023-01-10,16.253,16.718,15.567,16.191,67695006.0,SOL,1092517758.344,1481440,1.5510000000000002e-05,26.0,286421296.9219445,302809.0,18671443.668399256,1d
2023-01-11,16.191,16.597,15.27,16.355,51227004.0,SOL,814755183.782,1184720,-5.539333333333334e-05,26.0,,,,1d
2023-01-12,16.354,17.0,15.4,16.584,68851485.0,SOL,1121043446.182,1655119,-8.257333333333333e-05,30.0,,,,1d
2023-01-13,16.584,18.658,16.237,18.289,66433667.0,SOL,1139567364.776,1664605,-0.00020638333333333333,31.0,269473291.1869182,316549.0,19299222.303412113,1d
2023-01-14,18.289,24.848,18.191,24.283,170942988.0,SOL,3831175596.355,4652345,0.00015900666666666667,46.0,,,,1d
2023-01-15,24.284,25.2,22.0,22.903,81091714.0,SOL,1878000598.36,2560831,0.00024263,52.0,,,,1d
2023-01-16,22.903,25.18,22.23,23.601,79865802.0,SOL,1877503038.561,2419309,0.0002386766666666667,45.0,274688843.2470833,302804.0,19564851.90352845,1d
2023-01-17,23.6,24.0,22.66,22.855,53504946.0,SOL,1252341626.652,1648847,0.00010764333333333335,51.0,,,,1d
2023-01-18,22.858,23.674,20.31,20.804,86133366.0,SOL,1900250796.657,2699838,0.0001,52.0,,,,1d
2023-01-19,20.804,21.879,20.4,21.408,50010159.0,SOL,1059390337.568,1675414,0.0001,45.0,270951580.07365364,298919.0,19225531.967102878,1d
2023-01-20,21.408,25.875,20.913,25.513,68902615.0,SOL,1580114616.63,2464619,0.0001,51.0,,,,1d
2023-01-21,25.513,26.687,24.264,24.564,74218424.0,SOL,1876555060.543,2911438,0.00016756,53.0,,,,1d
2023-01-22,24.564,25.47,23.5,24.195,43837467.0,SOL,1087528588.131,1753350,0.0001,53.0,282163369.59394276,250760.0,21838359.94420077,1d
2023-01-23,24.196,24.943,23.7,24.347,38229814.0,SOL,933225217.329,1610601,0.0001,50.0,,,,1d
2023-01-24,24.346,25.3,22.11,22.77,40160667.0,SOL,970484596.512,1608816,0.00011026333333333335,52.0,,,,1d
2023-01-25,22.77,25.452,22.187,24.534,56957881.0,SOL,1346480710.378,2283525,7.079666666666667e-05,51.0,327010527.67509925,306681.0,25676773.61340148,1d
2023-01-26,24.535,25.251,23.7,24.345,36947938.0,SOL,906800679.348,1527627,0.0001,54.0,,,,1d
2023-01-27,24.345,24.994,23.242,24.441,31719064.0,SOL,762000202.112,1224079,0.0001,55.0,,,,1d
2023-01-28,24.441,25.3,23.7,24.002,23656201.0,SOL,574849021.34,888535,0.00011015333333333332,52.0,313930106.5680952,268849.0,24442485.75123782,1d
2023-01-29,24.002,26.869,23.71,26.09,48584074.0,SOL,1237037149.892,1850026,0.0001,55.0,,,,1d
