Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,close_norm
2023-01-01,-1.4748647868479134,-1.482251446844929,-1.4722152001533315,-1.477920931868163,0.3651323720141471,SOL,336064505.184,493733,-3.1541061128149277,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.8711971654044026,0.0086742414071967,0.0
2023-01-02,-1.4747405231364357,-1.4556189688336494,-1.4705269039624955,-1.4602120576206097,2.839208261961563,SOL,874979462.606,1303567,-2.974005082714935,27.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,12.849553974140516,0.1208853648896233,0.0050888565156813
2023-01-03,-1.4570398477903728,-1.4314051955489335,-1.4533005597780304,-1.4316596059281814,7.897631822977427,SOL,2150335077.986,2682824,-16.710320590204496,26.0,-2.771760080593854,-2.526006884454911,-2.96674379528358,1d,18.358646416200376,0.1685492053193519,0.0132937445171739
2023-01-04,-1.4285006153876334,-1.427115669486906,-1.4273608903374695,-1.4305683414464676,7.095974794036245,SOL,2131662125.534,2634303,-18.558676971737665,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.5928260543298647,0.005910757547577,0.0136073323991854
2023-01-05,-1.4274236632214925,-1.4327147704837582,-1.4257298245259835,-1.4303887662785908,2.293352239044462,SOL,921854525.222,1197148,-3.4323853802706985,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.0969787392763876,0.0009693174527736,0.0136589354683772
2023-01-06,-1.4272441711938022,-1.4353339203534072,-1.4297788738650232,-1.4294908904392063,2.158693773169534,SOL,879413998.364,1147975,-5.2107620081912005,26.0,-2.429611918412454,-2.4691676363993618,-2.5524210317998595,1d,0.4844239081830404,0.0048325435112412,0.0139169508143361
2023-01-07,-1.426319096897245,-1.436603406259615,-1.4245422941544632,-1.434961026322226,-0.4135583956726029,SOL,260404008.583,373408,-1.746906229701026,25.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.937031817844704,-0.029810261578594,0.0123450419374173
2023-01-08,-1.4318143143603752,-1.409890750191101,-1.42706043084588,-1.4159260585272735,1.89603971214506,SOL,846269584.731,1041976,-1.44401784593771,25.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,10.529533124474666,0.1001125673547548,0.0178149672717457
2023-01-09,-1.4127881594252156,-1.383017738008119,-1.406715030986819,-1.3912275662069729,5.71100039186598,SOL,2144978574.45,2893365,-0.2248207658411946,25.0,-2.8056241365329084,-2.309576162028254,-2.9590933198790443,1d,12.360871068095404,0.1165455686929404,0.0249123740190455
2023-01-10,-1.3880872949992356,-1.3934676114676376,-1.387957774154731,-1.3920840016230012,2.199264133029011,SOL,1092517758.344,1481440,-0.1292377186099029,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-0.3814680366701628,-0.0038219748164235,0.0246662670736693
