Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,Close_norm
2023-01-01,16537.5,16618.8,16488.0,16610.3,105502.965,BTC,1746449849.7392,594299,6.897e-05,26.0,621827764.132736,451146.4942196532,38539060.71746736,1d,,,0.0
2023-01-02,16610.4,16799.0,16541.2,16666.0,215161.176,BTC,3591354304.35244,1020015,-1.0580000000000002e-05,27.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.3353340999259435,0.0033477310891268,0.0005156538435189
2023-01-03,16665.9,16774.0,16600.3,16667.2,203070.205,BTC,3387368709.5144,966813,7.433e-05,26.0,261883481.8059322,272055.0,16511361.794084923,1d,0.0072002880115329,7.200028803238116e-05,0.0005267630825175
2023-01-04,16667.3,16984.6,16645.7,16842.1,349747.838,BTC,5888326801.78923,1618311,4.936e-05,29.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.0493664202745334,0.0104389878792354,0.0021459346665654
2023-01-05,16842.2,16872.8,16740.4,16823.8,176369.347,BTC,2966302291.7523,892815,5.7056666666666665e-05,29.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.1086562839550886,-0.0010871535769073,0.0019765187718365
2023-01-06,16823.8,17030.0,16664.8,16943.8,316973.629,BTC,5333655035.26937,1370628,6.945333333333333e-05,26.0,305064103.23047346,276071.0,19587656.115701865,1d,0.7132752410276,0.0071074346507213,0.0030874426716979
2023-01-07,16943.9,16973.6,16900.1,16936.5,77973.105,BTC,1320072681.1707,454642,4.393e-05,25.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.0430836058027073,-0.0004309288945473,0.0030198614677896
2023-01-08,16936.5,17181.1,16905.0,17124.7,157717.318,BTC,2677202628.9964,775585,7.703e-05,25.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.1112095179051096,0.0110508094401179,0.0047621604507388
2023-01-09,17124.6,17387.8,17098.2,17169.7,400277.809,BTC,6899176604.98138,1767631,2.0116666666666667e-05,25.0,257609687.17239985,287347.0,16568165.610140678,1d,0.2627783260436667,0.0026243366746047,0.0051787569131868
2023-01-10,17169.6,17485.4,17140.4,17428.8,297320.371,BTC,5146868921.9222,1362100,5.077e-05,26.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.509053740018751,0.0149778079247716,0.0075774267669707
2023-01-11,17428.8,18013.2,17306.4,17935.7,386277.106,BTC,6776699165.64645,1720123,1.6756666666666665e-05,26.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.908404479941251,0.0286691297064994,0.0122701544739682
2023-01-12,17935.6,19120.0,17902.4,18838.0,1040334.76,BTC,19148363107.05267,4582821,9.183e-05,30.0,255914886.5988972,315980.0,17645261.628721908,1d,5.030748730186163,0.049082966348082,0.0206233764310088
2023-01-13,18838.1,19997.8,18711.0,19924.2,806807.832,BTC,15537710427.37066,3959376,9.053333333333332e-05,31.0,621827764.132736,451146.4942196532,38539060.71746736,1d,5.766004883745635,0.0560589669049806,0.0306790892645869
2023-01-14,19924.3,21544.0,19882.6,20962.8,1010666.683,BTC,20998726724.36468,5289343,0.00021531,46.0,621827764.132736,451146.4942196532,38539060.71746736,1d,5.212756346553427,0.0508143650114411,0.0402941356178866
2023-01-15,20962.8,21073.8,20556.0,20882.7,428486.559,BTC,8913057374.28152,2666812,0.0001534599999999,52.0,280250606.7848099,252086.0,21360708.69711005,1d,-0.382105443929237,-0.0038283733176435,0.0395525939147292
2023-01-16,20882.7,21498.0,20606.6,21188.3,666148.201,BTC,14032617401.17082,4013906,0.0001,45.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.4634122982181363,0.0145280775405402,0.0423817467797093
2023-01-17,21188.2,21640.0,20827.8,21130.9,547390.593,BTC,11615613152.77241,3216496,0.0001,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.2709042254451677,-0.002712718350053,0.041850354847609
2023-01-18,21130.8,21672.0,20386.0,20680.0,813785.517,BTC,17129538788.44014,4880532,0.0001,52.0,261608422.1400793,300045.0,19114033.15355645,1d,-2.133841909241918,-0.0215693745496623,0.0376760582938801
2023-01-19,20680.1,21183.9,20659.9,21068.3,374733.617,BTC,7822342459.57356,2261529,0.0001,45.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.8776595744680824,0.0186024914846205,0.041270822879848
2023-01-20,21068.3,22750.0,20856.4,22661.1,723645.2,BTC,15661806602.12429,3903593,0.0001,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,7.560173340990972,0.0728802569861249,0.0560164861106739
2023-01-21,22661.0,23390.0,22422.0,22781.9,764681.1,BTC,17543885761.9696,4452486,0.0001,53.0,257871158.96664968,287860.0,20109654.849325083,1d,0.5330720927051225,0.0053165629268608,0.0571348161698676
