Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,Close_norm
2023-01-01,1196.1,1204.79,1190.8,1199.96,1381763.488,ETH,1654443731.79587,683700,0.0001,26.0,621827764.132736,451146.4942196532,38539060.71746736,1d,,,0.0
2023-01-02,1199.96,1225.0,1191.5,1213.23,2831791.319,ETH,3431524206.10823,1194079,8.780666666666666e-05,27.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.1058701956731865,0.0109980016135908,0.0036552345327387
2023-01-03,1213.24,1219.5,1203.05,1214.23,2418195.012,ETH,2931903414.03335,1012410,3.022e-05,26.0,261883481.8059322,272055.0,16511361.794084923,1d,0.0824246020952435,0.0008239065167447,0.0039306855148591
2023-01-04,1214.22,1275.0,1212.16,1256.39,5329817.195,ETH,6655447772.02725,2182199,9.203e-05,29.0,621827764.132736,451146.4942196532,38539060.71746736,1d,3.4721593108389737,0.0341323983666436,0.0155436989210585
2023-01-05,1256.39,1260.0,1242.22,1251.08,2662864.999,ETH,3329922187.67573,1160417,0.0001,29.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.4226394670444833,-0.0042353511209712,0.0140810542059987
2023-01-06,1251.08,1277.77,1233.0,1268.54,4156167.363,ETH,5216519703.013,1805807,0.0001,26.0,305064103.23047346,276071.0,19587656.115701865,1d,1.3955942066054885,0.0138594545860293,0.0188904283538222
2023-01-07,1268.54,1270.66,1260.53,1263.65,1186947.058,ETH,1500580014.03508,625140,5.611e-05,25.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.3854825232156522,-0.003862274220135,0.0175434730512531
2023-01-08,1263.64,1296.0,1256.3,1289.65,2415068.332,ETH,3068138464.86221,1138729,6.538e-05,25.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.0575317532544712,0.0203665050838266,0.0247051985863855
2023-01-09,1289.64,1345.0,1284.81,1320.32,6326600.832,ETH,8343049682.27575,2548577,7.309666666666667e-05,25.0,257609687.17239985,287347.0,16568165.610140678,1d,2.378164618307288,0.023503267729913,0.0331532802080205
2023-01-10,1320.32,1348.7,1316.74,1335.3,3653151.641,ETH,4864320674.8589,1599802,0.0001,26.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.134573436742614,0.011281854247086,0.0372795359201853
2023-01-11,1335.29,1400.0,1319.52,1389.26,4603732.161,ETH,6190290564.99127,2010343,7.592666666666667e-05,26.0,621827764.132736,451146.4942196532,38539060.71746736,1d,4.041039466786489,0.0396152455726924,0.0521428709154062
2023-01-12,1389.25,1439.36,1358.0,1415.84,8272496.444,ETH,11611529579.13658,3699395,0.0001,30.0,255914886.5988972,315980.0,17645261.628721908,1d,1.9132487799260025,0.0189517632564292,0.0594643580201684
2023-01-13,1415.85,1465.49,1400.7,1450.94,5096738.5,ETH,7246536108.50026,2499674,0.0001,31.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.4790936829020227,0.0244886277176233,0.0691326874925972
2023-01-14,1450.95,1644.92,1448.7,1550.27,7348877.264,ETH,11302279848.04887,4120583,0.0003919799999999,46.0,621827764.132736,451146.4942196532,38539060.71746736,1d,6.845906791459333,0.0662174870550815,0.0964932335466242
2023-01-15,1550.27,1570.0,1516.02,1553.47,3651240.364,ETH,5624513802.85479,2064815,0.00020572,52.0,280250606.7848099,252086.0,21360708.69711005,1d,0.2064156566275565,0.0020620291221926,0.0973746766894097
2023-01-16,1553.48,1610.5,1520.0,1577.11,5395191.668,ETH,8433001908.55222,3010479,0.0001139433333333,45.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.5217545237436123,0.0151029198114852,0.1038863379067377
2023-01-17,1577.25,1609.0,1540.0,1565.84,4580613.258,ETH,7212262387.95917,2767898,0.0001,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.7145982207962698,-0.0071716370311544,0.10078200533824
2023-01-18,1565.83,1614.6,1501.21,1511.66,6932415.112,ETH,10794454438.88289,4050516,0.0001,52.0,261608422.1400793,300045.0,19114033.15355645,1d,-3.460123639707746,-0.0352140364661953,0.0858580711269526
2023-01-19,1511.6,1565.0,1509.87,1551.11,3660939.013,ETH,5615305826.41623,2102315,0.0001,45.0,621827764.132736,451146.4942196532,38539060.71746736,1d,2.609713824537252,0.0257624189194362,0.0967246123716053
2023-01-20,1551.11,1680.0,1541.6,1659.01,5324812.863,ETH,8486281244.20332,2909709,0.0001,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,6.956308707957537,0.0672502352523153,0.1264457733424048
2023-01-21,1659.01,1682.44,1615.3,1627.63,4643566.522,ETH,7675267204.16943,2631057,0.0001,53.0,257871158.96664968,287860.0,20109654.849325083,1d,-1.891489502775745,-0.0190960698949716,0.1178021215234643
2023-01-22,1627.63,1666.0,1603.39,1628.14,3827578.409,ETH,6244645504.84663,2167269,0.0001,53.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.0313339026682957,0.0003132899462624,0.1179426015243457
2023-01-23,1628.13,1650.0,1585.21,1626.9,3969684.229,ETH,6458881282.47335,2354013,0.0001011866666666,50.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.0761605267360354,-0.0007618954359906,0.1176010423065163
2023-01-24,1626.9,1641.89,1530.0,1555.99,4505754.932,ETH,7238645481.42649,2537854,0.0001,52.0,241053474.686216,292970.0,18918440.50491401,1d,-4.358596103018019,-0.0445643645326579,0.0980688131643533
2023-01-25,1556.0,1641.18,1512.3,1611.41,6003304.445,ETH,9396221038.91902,3278455,0.0001,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,3.561719548326159,0.0349975731251635,0.1133343065934701
2023-01-26,1611.44,1633.0,1575.66,1600.69,4235877.329,ETH,6803196691.7946,2450011,0.0001,54.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.66525589390658,-0.0066747858413134,0.1103814720651386
2023-01-27,1600.69,1621.46,1551.1,1597.08,4349734.136,ETH,6892435836.78376,2546198,0.0001,55.0,287769264.3540873,303179.0,22429274.15180188,1d,-0.2255277411616352,-0.0022578243798518,0.1093870940196837
2023-01-28,1597.08,1606.66,1555.0,1571.52,2478890.254,ETH,3918631425.95445,1619661,0.0001,52.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-1.6004207679014115,-0.0161336580355852,0.1023465669166843
2023-01-29,1571.52,1663.68,1565.98,1645.67,5099573.535,ETH,8242123689.74398,2975062,0.0001,55.0,621827764.132736,451146.4942196532,38539060.71746736,1d,4.718361840765639,0.0461042922593939,0.1227712572409177
2023-01-30,1645.67,1648.49,1529.04,1565.92,5031935.997,ETH,7994874441.45608,3086645,0.0001,61.0,269948142.5149194,309909.0,20350898.92321813,1d,-4.846050544762925,-0.0496740854327642,0.1008040414168096
2023-01-31,1565.93,1605.67,1561.04,1585.02,3444437.709,ETH,5443354538.36838,2195132,0.0001,51.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.2197302544191269,0.0121235148507915,0.1060651551753107
2023-02-01,1585.02,1648.76,1554.57,1641.8,5095996.279,ETH,8138789577.81239,3162655,0.0001,56.0,621827764.132736,451146.4942196532,38539060.71746736,1d,3.582289182470877,0.0351961753858648,0.1217052619401114
2023-02-02,1641.81,1717.0,1625.0,1643.81,6256821.466,ETH,10469433177.5439,3654614,0.0001,60.0,283641164.23669064,340169.0,22100256.867046896,1d,0.1224266049457911,0.0012235172468713,0.1222589184141735
2023-02-03,1643.82,1677.0,1622.0,1663.68,4613666.206,ETH,7613169004.81489,2904948,0.0001,60.0,621827764.132736,451146.4942196532,38539060.71746736,1d,1.2087771701108974,0.0120152980343137,0.1277321294289075
2023-02-04,1663.69,1696.99,1645.0,1666.44,2708043.817,ETH,4528626441.07317,1831492,0.0001,58.0,621827764.132736,451146.4942196532,38539060.71746736,1d,0.1658972879399867,0.0016575983039381,0.12849237413956
2023-02-05,1666.44,1674.59,1608.0,1628.98,3600230.231,ETH,5915689068.44671,2324955,0.0001,58.0,297334185.95846194,254113.0,22388253.779740416,1d,-2.2479057151772674,-0.0227355624434538,0.1181739803493269
2023-02-06,1628.98,1659.0,1602.0,1613.9,3905639.202,ETH,6376859033.52747,2440312,0.0001,56.0,621827764.132736,451146.4942196532,38539060.71746736,1d,-0.9257326670677356,-0.0093004420140586,0.1140201795389501
2023-02-07,1613.89,1679.03,1612.49,1670.51,4525016.709,ETH,7450540052.39308,2731721,0.0001,54.0,621827764.132736,451146.4942196532,38539060.71746736,1d,3.5076522708965774,0.0344753589687841,0.1296134596367903
2023-02-08,1670.5,1699.0,1631.0,1650.26,4145086.428,ETH,6891130617.52701,2543360,0.0001,58.0,269948142.5149194,316963.0,20351657.38350813,1d,-1.2122046560631206,-0.0121961177721145,0.1240355772488506
